ticker,name,market,locale,active,source_feed
I:ADOW,The Asia Dow (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:ADOWA,The Asia Dow (AUD),indices,us,True,CMEMarketDataPlatformDowJones
I:ADOWE,The Asia Dow (EUR),indices,us,True,CMEMarketDataPlatformDowJones
I:ADOWJ,The Asia Dow (JPY),indices,us,True,CMEMarketDataPlatformDowJones
I:AGQIV,PROSHARES ULTRA SILVER ETF,indices,us,True,CboeGlobalIndicesINAV
I:ALGO100,Cboe 100 Algorand / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ALGO1KRP,Cboe 1000 Algorand / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ALGO5KRP,Cboe 5000 Algorand / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ANEWIV,PROSHARES MSCI TRANSFORMATIONAL CHANGES ETF,indices,us,True,CboeGlobalIndicesINAV
I:APRTIV,AllianzIM U.S. Large Cap Buffer10 Apr ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
I:APRWIV,AllianzIM U.S. Large Cap Buffer20 Apr ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
I:APRZIV,TrueShares Structured Outcome (April) ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
I:ASOX,PHLX US AI Semiconductor Index,indices,us,True,NasdaqGIDS
I:ASOXN,PHLX US AI Semiconductor Net To,indices,us,True,NasdaqGIDS
I:ASOXT,PHLX US AI Semiconductor Total,indices,us,True,NasdaqGIDS
I:ATDOW,Dow Jones Austria Index,indices,us,True,CMEMarketDataPlatformDowJones
I:ATDOWD,Dow Jones Austria Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:ATOM150,Cboe 150 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ATOM300,Cboe 300 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ATOM600,Cboe 600 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:ATOM75RP,Cboe 75 Cosmos / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:AUAC,Nasdaq All Cap Australian Equit,indices,us,True,NasdaqGIDS
I:AUACGL,Nasdaq All Cap Australian Equity Index GLR,indices,us,True,NasdaqGIDS
I:AUACT,Nasdaq All Cap Australian Equit,indices,us,True,NasdaqGIDS
I:AUDOWD,Dow Jones Australia Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:AUGTIV,AllianzIM U.S. Large Cap Buffer10 Aug ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
I:AUGWIV,AllianzIM U.S. Large Cap Buffer20 Aug ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
I:AUGZIV,TrueShares Structured Outcome (August) ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesINAV
I:AVCHQYLD,Alpha Vee Quality Yield,indices,us,True,CboeGlobalIndicesCGI
I:AVFOCGRW,Alpha Vee Focused Growth Index,indices,us,True,CboeGlobalIndicesCGI
I:AVGRNTSP,Alpha Vee Green Transportation,indices,us,True,CboeGlobalIndicesCGI
I:AVRMENEQ,Alpha Vee Risk Managed Enhanced US Equity,indices,us,True,CboeGlobalIndicesCGI
I:AVT5EQTB,Alpha Vee Risk Managed Top 5 Sector Equities & Treasury Bonds,indices,us,True,CboeGlobalIndicesCGI
I:AVT5ETTB,Alpha Vee Risk Managed Top 5 Sector ETFs & Treasuries,indices,us,True,CboeGlobalIndicesCGI
I:AVT5SMAL,Alpha Vee Risk Managed Small Cap Top 5 Sector US Equity,indices,us,True,CboeGlobalIndicesCGI
I:AVT5SMID,Alpha Vee Risk Managed SMID Top 5 Sector Equities,indices,us,True,CboeGlobalIndicesCGI
I:AVUSMEGA,Alpha Vee US Mega Cap,indices,us,True,CboeGlobalIndicesCGI
I:B15GI,OMX Baltic Telecommunications GI,indices,us,True,NasdaqGIDS
I:B15PI,OMX Baltic Telecommunications PI,indices,us,True,NasdaqGIDS
I:B20GI,OMX Baltic Health Care GI,indices,us,True,NasdaqGIDS
I:B20PI,OMX Baltic Health Care PI,indices,us,True,NasdaqGIDS
I:B3010GI,OMX Baltic Banks GI,indices,us,True,NasdaqGIDS
I:B3010PI,OMX Baltic Banks PI,indices,us,True,NasdaqGIDS
I:B3020GI,OMX Baltic Financial Services GI,indices,us,True,NasdaqGIDS
I:B3020PI,OMX Baltic Financial Services PI,indices,us,True,NasdaqGIDS
I:B30GI,OMX Baltic Financials GI,indices,us,True,NasdaqGIDS
I:B30PI,OMX Baltic Financials PI,indices,us,True,NasdaqGIDS
I:B35GI,OMX Baltic Real Estate GI,indices,us,True,NasdaqGIDS
I:B35PI,OMX Baltic Real Estate PI,indices,us,True,NasdaqGIDS
I:B4020GI,OMX Baltic Consumer Products and Services GI,indices,us,True,NasdaqGIDS
I:B4020PI,OMX Baltic Consumer Products and Services PI,indices,us,True,NasdaqGIDS
I:B4030GI,OMX Baltic Media GI,indices,us,True,NasdaqGIDS
I:B4030PI,OMX Baltic Media PI,indices,us,True,NasdaqGIDS
I:B4040GI,OMX Baltic Retail GI,indices,us,True,NasdaqGIDS
I:B4040PI,OMX Baltic Retail PI,indices,us,True,NasdaqGIDS
I:B4050GI,OMX Baltic Travel and Leisure GI,indices,us,True,NasdaqGIDS
I:B4050PI,OMX Baltic Travel and Leisure PI,indices,us,True,NasdaqGIDS
I:B40GI,OMX Baltic Consumer Discretionary GI,indices,us,True,NasdaqGIDS
I:B40PI,OMX Baltic Consumer Discretionary PI,indices,us,True,NasdaqGIDS
I:B4510GI,"OMX Baltic Food, Beverage and Tobacco  GI",indices,us,True,NasdaqGIDS
I:B4510PI,"OMX Baltic Food, Beverage and Tobacco  PI",indices,us,True,NasdaqGIDS
I:B45GI,OMX Baltic Consumer Staples GI,indices,us,True,NasdaqGIDS
I:B45PI,OMX Baltic Consumer Staples PI,indices,us,True,NasdaqGIDS
I:B5010GI,OMX Baltic Construction and Materials GI,indices,us,True,NasdaqGIDS
I:B5010PI,OMX Baltic Construction and Materials PI,indices,us,True,NasdaqGIDS
I:B5020GI,OMX Baltic Industrial Goods and Services GI,indices,us,True,NasdaqGIDS
I:B5020PI,OMX Baltic Industrial Goods and Services PI,indices,us,True,NasdaqGIDS
I:B50GI,OMX Baltic Industrials GI,indices,us,True,NasdaqGIDS
I:B50PI,OMX Baltic Industrials PI,indices,us,True,NasdaqGIDS
I:B5510GI,OMX Baltic Basic Resources GI,indices,us,True,NasdaqGIDS
I:B5510PI,OMX Baltic Basic Resources PI,indices,us,True,NasdaqGIDS
I:B55GI,OMX Baltic Basic Materials GI,indices,us,True,NasdaqGIDS
I:B55PI,OMX Baltic Basic Materials PI,indices,us,True,NasdaqGIDS
I:B60GI,OMX Baltic Energy GI,indices,us,True,NasdaqGIDS
I:B60PI,OMX Baltic Energy PI,indices,us,True,NasdaqGIDS
I:B65GI,OMX Baltic Utilities GI,indices,us,True,NasdaqGIDS
I:B65PI,OMX Baltic Utilities PI,indices,us,True,NasdaqGIDS
I:BANK,Nasdaq Bank,indices,us,True,NasdaqGIDS
I:BANKT,Nasdaq Bank Total Return,indices,us,True,NasdaqGIDS
I:BAT100RP,Cboe 100 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BAT1KRP,Cboe 1000 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BAT200RP,Cboe 200 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BAT20N,Cboe Austria 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BAT20P,Cboe Austria 20,indices,us,True,CboeGlobalIndicesCGI
I:BAT500RP,Cboe 500 Basic Attention Token / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BBE20N,Cboe Belgium 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BBE20P,Cboe Belgium 20,indices,us,True,CboeGlobalIndicesCGI
I:BCH100RP,Cboe 100 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH10RP,Cboe 10 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH1RP,Cboe 1 Bitcoin Cash / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BCH20N,Cboe Switzerland 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BCH20P,Cboe Switzerland 20,indices,us,True,CboeGlobalIndicesCGI
I:BCH20RP,Cboe 20 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH40RP,Cboe 40 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH5RP,Cboe 5 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCHM30N,Cboe Switzerland Mid Cap 30,indices,us,True,CboeGlobalIndicesCGI
I:BCHM30P,Cboe Switzerland Mid Cap 30,indices,us,True,CboeGlobalIndicesCGI
I:BDE40G,Cboe Germany 40 Gross Return,indices,us,True,CboeGlobalIndicesCGI
I:BDE40N,Cboe Germany 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDE40P,Cboe Germany 40,indices,us,True,CboeGlobalIndicesCGI
I:BDEA,Cboe MSCI EAFE 20-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BDEF,Cboe MSCI Emerging Markets 20-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BDEM50N,Cboe Germany Mid Cap 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDEM50P,Cboe Germany Mid Cap 50,indices,us,True,CboeGlobalIndicesCGI
I:BDES50N,Cboe Germany Small Cap 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDES50P,Cboe Germany Small Cap 50,indices,us,True,CboeGlobalIndicesCGI
I:BDK25N,Cboe Denmark 25 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDK25P,Cboe Denmark 25,indices,us,True,CboeGlobalIndicesCGI
I:BEDOW,Dow Jones Belgium Index,indices,us,True,CMEMarketDataPlatformDowJones
I:BEDOWD,Dow Jones Belgium Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:BEP50N,Cboe Europe 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BEP50P,Cboe Europe 50,indices,us,True,CboeGlobalIndicesCGI
I:BEPACN,Cboe Europe All Companies - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPACP,Cboe Europe All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BEPBUS,Cboe Europe Business Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPBUSN,Cboe Europe Business Services Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPCNC,Cboe Europe Consumer Non Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPCNCN,Cboe Europe Consumer Non-Cyclicals,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONC,Cboe Europe Consumer Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONCN,Cboe Europe Consumer Cyclicals Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONS,Cboe Europe Consumer Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONSN,Cboe Europe Consumer Services Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPENGY,Cboe Europe Energy Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPENGYN,Cboe Europe Energy Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPFIN,Cboe Europe Finance Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPFINN,Cboe Europe Finance Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPHLTH,Cboe Europe Healthcare Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPHLTHN,Cboe Europe Healthcare Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPIND,Cboe Europe Industrials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPINDN,Cboe Europe Industrials Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPNEM,Cboe Europe Non Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPNEMN,Cboe Europe Non-Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPTEC,Cboe Europe Technology Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPTECN,Cboe Europe Technology Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPTEL,Cboe Europe Telecommunications Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPTELN,Cboe Europe Telecommunications Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPUTL,Cboe Europe Utilities Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPUTLN,Cboe Europe Utilities Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPXUKN,Cboe Europe All Companies ex UK,indices,us,True,CboeGlobalIndicesCGI
I:BEPXUKP,Cboe Europe All Companies ex UK,indices,us,True,CboeGlobalIndicesCGI
I:BES35N,Cboe Spain 35 - net,indices,us,True,CboeGlobalIndicesCGI
I:BES35P,Cboe Spain 35,indices,us,True,CboeGlobalIndicesCGI
I:BETEIV,BITCOIN & ETHER EQUAL WEIGHT STRATEGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BETHIV,BITCOIN & ETHER MARKET CAP WEIGHT STRATEGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BEWELL,Nasdaq CTA Global Digital Health Index,indices,us,True,NasdaqGIDS
I:BEWELLAU,Nasdaq CTA Global Digital Health AUD Index,indices,us,True,NasdaqGIDS
I:BEWELLAUNR,Nasdaq CTA Global Digital Health Net Total Return AUD Index,indices,us,True,NasdaqGIDS
I:BEWELLAUTR,Nasdaq CTA Global Digital Health Gross Total Return AUD Index,indices,us,True,NasdaqGIDS
I:BEWELLNR,Nasdaq CTA Global Digital Health Net Total Return Index,indices,us,True,NasdaqGIDS
I:BEWELLTR,Nasdaq CTA Global Digital Health Gross Total Return Index,indices,us,True,NasdaqGIDS
I:BEZ50N,Cboe Eurozone 50,indices,us,True,CboeGlobalIndicesCGI
I:BEZ50P,Cboe Eurozone 50,indices,us,True,CboeGlobalIndicesCGI
I:BEZACN,Cboe Eurozone All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BEZACP,Cboe Eurozone All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BFI25N,Cboe Finland 25,indices,us,True,CboeGlobalIndicesCGI
I:BFI25P,Cboe Finland 25,indices,us,True,CboeGlobalIndicesCGI
I:BFLY,Cboe S&P 500 Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMain
I:BFLYEA,Cboe MSCI EAFE Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMSCI
I:BFLYEF,Cboe MSCI Emerging Markets Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMSCI
I:BFR40N,Cboe France 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BFR40P,Cboe France 40,indices,us,True,CboeGlobalIndicesCGI
I:BFRM20N,Cboe France Mid Cap 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BFRM20P,Cboe France Mid Cap 20,indices,us,True,CboeGlobalIndicesCGI
I:BIBIV,PROSHARES ULTRA NASDAQ BIOTECHNOLOGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BIE20N,Cboe Ireland 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BIE20P,Cboe Ireland 20,indices,us,True,CboeGlobalIndicesCGI
I:BISIV,PROSHARES ULTRASHORT NASDAQ BIOTECHNOLOGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BIT40N,Cboe Italy 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BIT40P,Cboe Italy 40,indices,us,True,CboeGlobalIndicesCGI
I:BITIIV,ProShares Short Bitcoin Strategy ETF,indices,us,True,CboeGlobalIndicesINAV
I:BITOIV,ProShares Bitcoin Strategy ETF,indices,us,True,CboeGlobalIndicesINAV
I:BKX,KBW Nasdaq Bank Index,indices,us,True,NasdaqGIDS
I:BKXNTR,KBW Nasdaq Bank Net Total Return Index,indices,us,True,NasdaqGIDS
I:BKXTR,KBW Nasdaq Bank Total Return Index,indices,us,True,NasdaqGIDS
I:BNL30N,Cboe Netherlands 30 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNL30P,Cboe Netherlands 30,indices,us,True,CboeGlobalIndicesCGI
I:BNLM25N,Cboe Netherlands Mid Cap 25 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNLM25P,Cboe Netherlands Mid Cap 25,indices,us,True,CboeGlobalIndicesCGI
I:BNO25G,Cboe Norway 25 Gross Return,indices,us,True,CboeGlobalIndicesCGI
I:BNO25N,Cboe Norway 25 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNO25P,Cboe Norway 25,indices,us,True,CboeGlobalIndicesCGI
I:BNORD40N,Cboe Nordic 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BNORD40P,Cboe Nordic 40,indices,us,True,CboeGlobalIndicesCGI
I:BNT200RP,Cboe 200 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BNT2KRP,Cboe 2000 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BNT500RP,Cboe 500 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BNT50RP,Cboe 50 Bancor / US Dollar RealPrice Index,indices,us,True,CboeGlobalIndicesCCCY
I:BOILIV,PROSHARES ULTRA BLOOMBERG NATURAL GAS ETF,indices,us,True,CboeGlobalIndicesINAV
I:BPT20N,Cboe Portugal 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BPT20P,Cboe Portugal 20,indices,us,True,CboeGlobalIndicesCGI
I:BR20,Dow Jones Brazil Titans 20 ADR Index,indices,us,True,CMEMarketDataPlatformDowJones
I:BRIC50D,Dow Jones BRIC 50 Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:BRIC50E,Dow Jones BRIC 50 Index (EUR),indices,us,True,CMEMarketDataPlatformDowJones
I:BSE30N,Cboe Sweden 30 - net,indices,us,True,CboeGlobalIndicesCGI
I:BSE30P,Cboe Sweden 30,indices,us,True,CboeGlobalIndicesCGI
I:BTC10RP,Cboe 10 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC1RP,Cboe 1 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC20PRP,Cboe 0.2 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC20RP,Cboe 20 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTC5RP,Cboe 5 Bitcoin / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BTCOIV,Invesco Galaxy Bitcoin ETF Intraday Indicative Value,indices,us,True,CboeGlobalIndicesCCCY
I:BUK100N,Cboe UK 100 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUK100P,Cboe UK 100,indices,us,True,CboeGlobalIndicesCGI
I:BUK250N,Cboe UK 250 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUK250P,Cboe UK 250,indices,us,True,CboeGlobalIndicesCGI
I:BUK350N,Cboe UK 350 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUK350P,Cboe UK 350,indices,us,True,CboeGlobalIndicesCGI
I:BUKAC,Cboe UK All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BUKACN,Cboe UK All Companies - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKBISN,Cboe UK Banking and Investment Services - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKBISP,Cboe UK Banking and Investment Services,indices,us,True,CboeGlobalIndicesCGI
I:BUKBUS,Cboe UK Business Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKBUSN,Cboe UK Business Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCNC,Cboe UK Consumer Non-Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCNCN,Cboe UK Consumer Non Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONC,Cboe UK Consumer Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONCN,Cboe UK Consumer Cyclicals Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONS,Cboe UK Consumer Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKCONSN,Cboe UK Consumer Services Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKENGY,Cboe UK Energy Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKENGYN,Cboe UK Energy Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKFIN,Cboe UK Finance Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKFINN,Cboe UK Finance Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKHI50N,Cboe Brexit High 50,indices,us,True,CboeGlobalIndicesCGI
I:BUKHI50P,Cboe Brexit High 50,indices,us,True,CboeGlobalIndicesCGI
I:BUKHLTH,Cboe UK Healthcare Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKHLTHN,Cboe UK Healthcare Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKIND,Cboe UK Industrials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKINDN,Cboe UK Industrials Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKLO50N,Cboe Brexit Low 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKLO50P,Cboe Brexit Low 50,indices,us,True,CboeGlobalIndicesCGI
I:BUKMINN,Cboe UK Mining and Mineral Products - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKMINP,Cboe UK Mining and Mineral Products,indices,us,True,CboeGlobalIndicesCGI
I:BUKNEM,Cboe UK Non Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKNEMN,Cboe UK Non Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKSC,Cboe UK Small Companies,indices,us,True,CboeGlobalIndicesCGI
I:BUKSCN,Cboe UK Small Companies - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKTEC,Cboe UK Technology,indices,us,True,CboeGlobalIndicesCGI
I:BUKTECN,Cboe UK Technology - net,indices,us,True,CboeGlobalIndicesCGI
I:BUKTEL,Cboe UK Telecommunications Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKTELN,Cboe UK Telecommunications Sect,indices,us,True,CboeGlobalIndicesCGI
I:BUKUTL,Cboe UK Utilities Sector,indices,us,True,CboeGlobalIndicesCGI
I:BUKUTLN,Cboe UK Utilities Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BXD,Cboe DJIA BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXDE,DJIA Cboe BuyWrite V2 Index,indices,us,True,CboeGlobalIndicesMain
I:BXDEH,Cboe DJIA Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXEA,Cboe MSCI EAFE BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BXEF,Cboe MSCI Emerging Markets BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BXEMG,Cboe MSCI Emerging Markets IMI BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BXESG,Cboe S&P 500 ESG BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXGBTCA,Cboe GBTC ATM BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXGBTCT,Cboe GBTC 20% OTM BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXHB,Cboe HYG BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXLB,Cboe LQD BuyWrite Index,indices,us,True,CboeGlobalIndicesCGI
I:BXLFH,Cboe S&P Financials Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXLKH,Cboe S&P Technology Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXLVH,Cboe S&P Health Care Select Sector Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXM,Cboe S&P 500 BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXMC,Cboe S&P 500 Conditional BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXMCAD,,indices,us,True,CboeGlobalIndicesMain
I:BXMD,Cboe S&P 500 30-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXMH,Cboe S&P 500 Half BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
I:BXMU,Cboe S&P 500 BuyWrite 15% WHT,indices,us,True,CboeGlobalIndicesMain
I:BXMVM,Cboe S&P 500 Managed Volatility BuyWrite Index,indices,us,True,CboeGlobalIndicesMain
